cohortId,targetId,targetName,strataId,strataName,cohortType
137000522,137,PCa under conservative management,52,without EAU High Risk,TwoS
138000522,138,PCa high/intermediate risk conservative management,52,without EAU High Risk,TwoS
139000522,139,PCa low risk grade conservative management and no intense monitoring,52,without EAU High Risk,TwoS
140000522,140,PCa low risk grade conservative management and intense monitoring,52,without EAU High Risk,TwoS
141000522,141,Newly diagnosed Pca (biopsy or PSA GT 50),52,without EAU High Risk,TwoS
142000522,142,PCa treated right away (biopsy or PSA GT 50),52,without EAU High Risk,TwoS
143000522,143,PCa treated after conservative management,52,without EAU High Risk,TwoS
144000522,144,Delayed Curative Management,52,without EAU High Risk,TwoS
145000522,145,Delayed Palliative Management,52,without EAU High Risk,TwoS
47000532,47,Newly diagnosed Pca,53,without EAU Low Risk,TwoS
49000532,49,PCa treated right away,53,without EAU Low Risk,TwoS
125000532,125,PCa under conservative management (biopsy or PSA GT 50),53,without EAU Low Risk,TwoS
126000532,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),53,without EAU Low Risk,TwoS
127000532,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),53,without EAU Low Risk,TwoS
128000532,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),53,without EAU Low Risk,TwoS
129000532,129,PCa treated after conservative management (biopsy or PSA GT 50),53,without EAU Low Risk,TwoS
131000532,131,Delayed Curative Management (biopsy or PSA GT 50),53,without EAU Low Risk,TwoS
132000532,132,Delayed Palliative Management (biopsy or PSA GT 50),53,without EAU Low Risk,TwoS
137000532,137,PCa under conservative management,53,without EAU Low Risk,TwoS
138000532,138,PCa high/intermediate risk conservative management,53,without EAU Low Risk,TwoS
139000532,139,PCa low risk grade conservative management and no intense monitoring,53,without EAU Low Risk,TwoS
140000532,140,PCa low risk grade conservative management and intense monitoring,53,without EAU Low Risk,TwoS
141000532,141,Newly diagnosed Pca (biopsy or PSA GT 50),53,without EAU Low Risk,TwoS
142000532,142,PCa treated right away (biopsy or PSA GT 50),53,without EAU Low Risk,TwoS
143000532,143,PCa treated after conservative management,53,without EAU Low Risk,TwoS
144000532,144,Delayed Curative Management,53,without EAU Low Risk,TwoS
145000532,145,Delayed Palliative Management,53,without EAU Low Risk,TwoS
47000542,47,Newly diagnosed Pca,54,without EAU Intermediate Risk,TwoS
49000542,49,PCa treated right away,54,without EAU Intermediate Risk,TwoS
125000542,125,PCa under conservative management (biopsy or PSA GT 50),54,without EAU Intermediate Risk,TwoS
126000542,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),54,without EAU Intermediate Risk,TwoS
127000542,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),54,without EAU Intermediate Risk,TwoS
128000542,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),54,without EAU Intermediate Risk,TwoS
129000542,129,PCa treated after conservative management (biopsy or PSA GT 50),54,without EAU Intermediate Risk,TwoS
131000542,131,Delayed Curative Management (biopsy or PSA GT 50),54,without EAU Intermediate Risk,TwoS
132000542,132,Delayed Palliative Management (biopsy or PSA GT 50),54,without EAU Intermediate Risk,TwoS
137000542,137,PCa under conservative management,54,without EAU Intermediate Risk,TwoS
138000542,138,PCa high/intermediate risk conservative management,54,without EAU Intermediate Risk,TwoS
139000542,139,PCa low risk grade conservative management and no intense monitoring,54,without EAU Intermediate Risk,TwoS
140000542,140,PCa low risk grade conservative management and intense monitoring,54,without EAU Intermediate Risk,TwoS
141000542,141,Newly diagnosed Pca (biopsy or PSA GT 50),54,without EAU Intermediate Risk,TwoS
142000542,142,PCa treated right away (biopsy or PSA GT 50),54,without EAU Intermediate Risk,TwoS
143000542,143,PCa treated after conservative management,54,without EAU Intermediate Risk,TwoS
144000542,144,Delayed Curative Management,54,without EAU Intermediate Risk,TwoS
145000542,145,Delayed Palliative Management,54,without EAU Intermediate Risk,TwoS
47000552,47,Newly diagnosed Pca,55,without Metastatic PCa,TwoS
49000552,49,PCa treated right away,55,without Metastatic PCa,TwoS
125000552,125,PCa under conservative management (biopsy or PSA GT 50),55,without Metastatic PCa,TwoS
126000552,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),55,without Metastatic PCa,TwoS
127000552,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),55,without Metastatic PCa,TwoS
128000552,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),55,without Metastatic PCa,TwoS
129000552,129,PCa treated after conservative management (biopsy or PSA GT 50),55,without Metastatic PCa,TwoS
131000552,131,Delayed Curative Management (biopsy or PSA GT 50),55,without Metastatic PCa,TwoS
132000552,132,Delayed Palliative Management (biopsy or PSA GT 50),55,without Metastatic PCa,TwoS
137000552,137,PCa under conservative management,55,without Metastatic PCa,TwoS
138000552,138,PCa high/intermediate risk conservative management,55,without Metastatic PCa,TwoS
139000552,139,PCa low risk grade conservative management and no intense monitoring,55,without Metastatic PCa,TwoS
140000552,140,PCa low risk grade conservative management and intense monitoring,55,without Metastatic PCa,TwoS
141000552,141,Newly diagnosed Pca (biopsy or PSA GT 50),55,without Metastatic PCa,TwoS
142000552,142,PCa treated right away (biopsy or PSA GT 50),55,without Metastatic PCa,TwoS
143000552,143,PCa treated after conservative management,55,without Metastatic PCa,TwoS
144000552,144,Delayed Curative Management,55,without Metastatic PCa,TwoS
145000552,145,Delayed Palliative Management,55,without Metastatic PCa,TwoS
47000562,47,Newly diagnosed Pca,56,without Locally Advanced PCa,TwoS
49000562,49,PCa treated right away,56,without Locally Advanced PCa,TwoS
125000562,125,PCa under conservative management (biopsy or PSA GT 50),56,without Locally Advanced PCa,TwoS
126000562,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),56,without Locally Advanced PCa,TwoS
127000562,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),56,without Locally Advanced PCa,TwoS
128000562,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),56,without Locally Advanced PCa,TwoS
129000562,129,PCa treated after conservative management (biopsy or PSA GT 50),56,without Locally Advanced PCa,TwoS
131000562,131,Delayed Curative Management (biopsy or PSA GT 50),56,without Locally Advanced PCa,TwoS
132000562,132,Delayed Palliative Management (biopsy or PSA GT 50),56,without Locally Advanced PCa,TwoS
137000562,137,PCa under conservative management,56,without Locally Advanced PCa,TwoS
138000562,138,PCa high/intermediate risk conservative management,56,without Locally Advanced PCa,TwoS
139000562,139,PCa low risk grade conservative management and no intense monitoring,56,without Locally Advanced PCa,TwoS
140000562,140,PCa low risk grade conservative management and intense monitoring,56,without Locally Advanced PCa,TwoS
141000562,141,Newly diagnosed Pca (biopsy or PSA GT 50),56,without Locally Advanced PCa,TwoS
142000562,142,PCa treated right away (biopsy or PSA GT 50),56,without Locally Advanced PCa,TwoS
143000562,143,PCa treated after conservative management,56,without Locally Advanced PCa,TwoS
144000562,144,Delayed Curative Management,56,without Locally Advanced PCa,TwoS
145000562,145,Delayed Palliative Management,56,without Locally Advanced PCa,TwoS
47000572,47,Newly diagnosed Pca,57,without localized PCa,TwoS
49000572,49,PCa treated right away,57,without localized PCa,TwoS
125000572,125,PCa under conservative management (biopsy or PSA GT 50),57,without localized PCa,TwoS
126000572,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),57,without localized PCa,TwoS
127000572,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),57,without localized PCa,TwoS
128000572,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),57,without localized PCa,TwoS
129000572,129,PCa treated after conservative management (biopsy or PSA GT 50),57,without localized PCa,TwoS
131000572,131,Delayed Curative Management (biopsy or PSA GT 50),57,without localized PCa,TwoS
132000572,132,Delayed Palliative Management (biopsy or PSA GT 50),57,without localized PCa,TwoS
137000572,137,PCa under conservative management,57,without localized PCa,TwoS
138000572,138,PCa high/intermediate risk conservative management,57,without localized PCa,TwoS
139000572,139,PCa low risk grade conservative management and no intense monitoring,57,without localized PCa,TwoS
140000572,140,PCa low risk grade conservative management and intense monitoring,57,without localized PCa,TwoS
141000572,141,Newly diagnosed Pca (biopsy or PSA GT 50),57,without localized PCa,TwoS
142000572,142,PCa treated right away (biopsy or PSA GT 50),57,without localized PCa,TwoS
143000572,143,PCa treated after conservative management,57,without localized PCa,TwoS
144000572,144,Delayed Curative Management,57,without localized PCa,TwoS
145000572,145,Delayed Palliative Management,57,without localized PCa,TwoS
47000582,47,Newly diagnosed Pca,58,without PSA >20 at Diagnosis,TwoS
49000582,49,PCa treated right away,58,without PSA >20 at Diagnosis,TwoS
125000582,125,PCa under conservative management (biopsy or PSA GT 50),58,without PSA >20 at Diagnosis,TwoS
126000582,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),58,without PSA >20 at Diagnosis,TwoS
127000582,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),58,without PSA >20 at Diagnosis,TwoS
128000582,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),58,without PSA >20 at Diagnosis,TwoS
129000582,129,PCa treated after conservative management (biopsy or PSA GT 50),58,without PSA >20 at Diagnosis,TwoS
131000582,131,Delayed Curative Management (biopsy or PSA GT 50),58,without PSA >20 at Diagnosis,TwoS
132000582,132,Delayed Palliative Management (biopsy or PSA GT 50),58,without PSA >20 at Diagnosis,TwoS
137000582,137,PCa under conservative management,58,without PSA >20 at Diagnosis,TwoS
138000582,138,PCa high/intermediate risk conservative management,58,without PSA >20 at Diagnosis,TwoS
139000582,139,PCa low risk grade conservative management and no intense monitoring,58,without PSA >20 at Diagnosis,TwoS
140000582,140,PCa low risk grade conservative management and intense monitoring,58,without PSA >20 at Diagnosis,TwoS
141000582,141,Newly diagnosed Pca (biopsy or PSA GT 50),58,without PSA >20 at Diagnosis,TwoS
142000582,142,PCa treated right away (biopsy or PSA GT 50),58,without PSA >20 at Diagnosis,TwoS
143000582,143,PCa treated after conservative management,58,without PSA >20 at Diagnosis,TwoS
144000582,144,Delayed Curative Management,58,without PSA >20 at Diagnosis,TwoS
145000582,145,Delayed Palliative Management,58,without PSA >20 at Diagnosis,TwoS
47000592,47,Newly diagnosed Pca,59,without PSA <10 at Diagnosis,TwoS
49000592,49,PCa treated right away,59,without PSA <10 at Diagnosis,TwoS
125000592,125,PCa under conservative management (biopsy or PSA GT 50),59,without PSA <10 at Diagnosis,TwoS
126000592,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),59,without PSA <10 at Diagnosis,TwoS
127000592,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),59,without PSA <10 at Diagnosis,TwoS
128000592,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),59,without PSA <10 at Diagnosis,TwoS
129000592,129,PCa treated after conservative management (biopsy or PSA GT 50),59,without PSA <10 at Diagnosis,TwoS
131000592,131,Delayed Curative Management (biopsy or PSA GT 50),59,without PSA <10 at Diagnosis,TwoS
132000592,132,Delayed Palliative Management (biopsy or PSA GT 50),59,without PSA <10 at Diagnosis,TwoS
137000592,137,PCa under conservative management,59,without PSA <10 at Diagnosis,TwoS
138000592,138,PCa high/intermediate risk conservative management,59,without PSA <10 at Diagnosis,TwoS
139000592,139,PCa low risk grade conservative management and no intense monitoring,59,without PSA <10 at Diagnosis,TwoS
140000592,140,PCa low risk grade conservative management and intense monitoring,59,without PSA <10 at Diagnosis,TwoS
141000592,141,Newly diagnosed Pca (biopsy or PSA GT 50),59,without PSA <10 at Diagnosis,TwoS
142000592,142,PCa treated right away (biopsy or PSA GT 50),59,without PSA <10 at Diagnosis,TwoS
143000592,143,PCa treated after conservative management,59,without PSA <10 at Diagnosis,TwoS
144000592,144,Delayed Curative Management,59,without PSA <10 at Diagnosis,TwoS
145000592,145,Delayed Palliative Management,59,without PSA <10 at Diagnosis,TwoS
47000602,47,Newly diagnosed Pca,60,without PSA 10-20 at Diagnosis,TwoS
49000602,49,PCa treated right away,60,without PSA 10-20 at Diagnosis,TwoS
125000602,125,PCa under conservative management (biopsy or PSA GT 50),60,without PSA 10-20 at Diagnosis,TwoS
126000602,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),60,without PSA 10-20 at Diagnosis,TwoS
127000602,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),60,without PSA 10-20 at Diagnosis,TwoS
128000602,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),60,without PSA 10-20 at Diagnosis,TwoS
129000602,129,PCa treated after conservative management (biopsy or PSA GT 50),60,without PSA 10-20 at Diagnosis,TwoS
131000602,131,Delayed Curative Management (biopsy or PSA GT 50),60,without PSA 10-20 at Diagnosis,TwoS
132000602,132,Delayed Palliative Management (biopsy or PSA GT 50),60,without PSA 10-20 at Diagnosis,TwoS
137000602,137,PCa under conservative management,60,without PSA 10-20 at Diagnosis,TwoS
138000602,138,PCa high/intermediate risk conservative management,60,without PSA 10-20 at Diagnosis,TwoS
139000602,139,PCa low risk grade conservative management and no intense monitoring,60,without PSA 10-20 at Diagnosis,TwoS
140000602,140,PCa low risk grade conservative management and intense monitoring,60,without PSA 10-20 at Diagnosis,TwoS
141000602,141,Newly diagnosed Pca (biopsy or PSA GT 50),60,without PSA 10-20 at Diagnosis,TwoS
142000602,142,PCa treated right away (biopsy or PSA GT 50),60,without PSA 10-20 at Diagnosis,TwoS
143000602,143,PCa treated after conservative management,60,without PSA 10-20 at Diagnosis,TwoS
144000602,144,Delayed Curative Management,60,without PSA 10-20 at Diagnosis,TwoS
145000602,145,Delayed Palliative Management,60,without PSA 10-20 at Diagnosis,TwoS
47000632,47,Newly diagnosed Pca,63,without Stage cT1 at Dx,TwoS
49000632,49,PCa treated right away,63,without Stage cT1 at Dx,TwoS
125000632,125,PCa under conservative management (biopsy or PSA GT 50),63,without Stage cT1 at Dx,TwoS
126000632,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),63,without Stage cT1 at Dx,TwoS
127000632,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),63,without Stage cT1 at Dx,TwoS
128000632,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),63,without Stage cT1 at Dx,TwoS
129000632,129,PCa treated after conservative management (biopsy or PSA GT 50),63,without Stage cT1 at Dx,TwoS
131000632,131,Delayed Curative Management (biopsy or PSA GT 50),63,without Stage cT1 at Dx,TwoS
132000632,132,Delayed Palliative Management (biopsy or PSA GT 50),63,without Stage cT1 at Dx,TwoS
137000632,137,PCa under conservative management,63,without Stage cT1 at Dx,TwoS
138000632,138,PCa high/intermediate risk conservative management,63,without Stage cT1 at Dx,TwoS
139000632,139,PCa low risk grade conservative management and no intense monitoring,63,without Stage cT1 at Dx,TwoS
140000632,140,PCa low risk grade conservative management and intense monitoring,63,without Stage cT1 at Dx,TwoS
141000632,141,Newly diagnosed Pca (biopsy or PSA GT 50),63,without Stage cT1 at Dx,TwoS
142000632,142,PCa treated right away (biopsy or PSA GT 50),63,without Stage cT1 at Dx,TwoS
143000632,143,PCa treated after conservative management,63,without Stage cT1 at Dx,TwoS
144000632,144,Delayed Curative Management,63,without Stage cT1 at Dx,TwoS
145000632,145,Delayed Palliative Management,63,without Stage cT1 at Dx,TwoS
47000642,47,Newly diagnosed Pca,64,without Stage cT2 at Dx,TwoS
49000642,49,PCa treated right away,64,without Stage cT2 at Dx,TwoS
125000642,125,PCa under conservative management (biopsy or PSA GT 50),64,without Stage cT2 at Dx,TwoS
126000642,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),64,without Stage cT2 at Dx,TwoS
127000642,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),64,without Stage cT2 at Dx,TwoS
128000642,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),64,without Stage cT2 at Dx,TwoS
129000642,129,PCa treated after conservative management (biopsy or PSA GT 50),64,without Stage cT2 at Dx,TwoS
131000642,131,Delayed Curative Management (biopsy or PSA GT 50),64,without Stage cT2 at Dx,TwoS
132000642,132,Delayed Palliative Management (biopsy or PSA GT 50),64,without Stage cT2 at Dx,TwoS
137000642,137,PCa under conservative management,64,without Stage cT2 at Dx,TwoS
138000642,138,PCa high/intermediate risk conservative management,64,without Stage cT2 at Dx,TwoS
139000642,139,PCa low risk grade conservative management and no intense monitoring,64,without Stage cT2 at Dx,TwoS
140000642,140,PCa low risk grade conservative management and intense monitoring,64,without Stage cT2 at Dx,TwoS
141000642,141,Newly diagnosed Pca (biopsy or PSA GT 50),64,without Stage cT2 at Dx,TwoS
142000642,142,PCa treated right away (biopsy or PSA GT 50),64,without Stage cT2 at Dx,TwoS
143000642,143,PCa treated after conservative management,64,without Stage cT2 at Dx,TwoS
144000642,144,Delayed Curative Management,64,without Stage cT2 at Dx,TwoS
145000642,145,Delayed Palliative Management,64,without Stage cT2 at Dx,TwoS
47000652,47,Newly diagnosed Pca,65,without Stage cT3/cT4 at Dx,TwoS
49000652,49,PCa treated right away,65,without Stage cT3/cT4 at Dx,TwoS
125000652,125,PCa under conservative management (biopsy or PSA GT 50),65,without Stage cT3/cT4 at Dx,TwoS
126000652,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),65,without Stage cT3/cT4 at Dx,TwoS
127000652,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),65,without Stage cT3/cT4 at Dx,TwoS
128000652,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),65,without Stage cT3/cT4 at Dx,TwoS
129000652,129,PCa treated after conservative management (biopsy or PSA GT 50),65,without Stage cT3/cT4 at Dx,TwoS
131000652,131,Delayed Curative Management (biopsy or PSA GT 50),65,without Stage cT3/cT4 at Dx,TwoS
132000652,132,Delayed Palliative Management (biopsy or PSA GT 50),65,without Stage cT3/cT4 at Dx,TwoS
137000652,137,PCa under conservative management,65,without Stage cT3/cT4 at Dx,TwoS
138000652,138,PCa high/intermediate risk conservative management,65,without Stage cT3/cT4 at Dx,TwoS
139000652,139,PCa low risk grade conservative management and no intense monitoring,65,without Stage cT3/cT4 at Dx,TwoS
140000652,140,PCa low risk grade conservative management and intense monitoring,65,without Stage cT3/cT4 at Dx,TwoS
141000652,141,Newly diagnosed Pca (biopsy or PSA GT 50),65,without Stage cT3/cT4 at Dx,TwoS
142000652,142,PCa treated right away (biopsy or PSA GT 50),65,without Stage cT3/cT4 at Dx,TwoS
143000652,143,PCa treated after conservative management,65,without Stage cT3/cT4 at Dx,TwoS
144000652,144,Delayed Curative Management,65,without Stage cT3/cT4 at Dx,TwoS
145000652,145,Delayed Palliative Management,65,without Stage cT3/cT4 at Dx,TwoS
47000672,47,Newly diagnosed Pca,67,without Grade 1 (GS 2-6),TwoS
49000672,49,PCa treated right away,67,without Grade 1 (GS 2-6),TwoS
125000672,125,PCa under conservative management (biopsy or PSA GT 50),67,without Grade 1 (GS 2-6),TwoS
126000672,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),67,without Grade 1 (GS 2-6),TwoS
127000672,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),67,without Grade 1 (GS 2-6),TwoS
128000672,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),67,without Grade 1 (GS 2-6),TwoS
129000672,129,PCa treated after conservative management (biopsy or PSA GT 50),67,without Grade 1 (GS 2-6),TwoS
131000672,131,Delayed Curative Management (biopsy or PSA GT 50),67,without Grade 1 (GS 2-6),TwoS
132000672,132,Delayed Palliative Management (biopsy or PSA GT 50),67,without Grade 1 (GS 2-6),TwoS
137000672,137,PCa under conservative management,67,without Grade 1 (GS 2-6),TwoS
138000672,138,PCa high/intermediate risk conservative management,67,without Grade 1 (GS 2-6),TwoS
139000672,139,PCa low risk grade conservative management and no intense monitoring,67,without Grade 1 (GS 2-6),TwoS
140000672,140,PCa low risk grade conservative management and intense monitoring,67,without Grade 1 (GS 2-6),TwoS
141000672,141,Newly diagnosed Pca (biopsy or PSA GT 50),67,without Grade 1 (GS 2-6),TwoS
142000672,142,PCa treated right away (biopsy or PSA GT 50),67,without Grade 1 (GS 2-6),TwoS
143000672,143,PCa treated after conservative management,67,without Grade 1 (GS 2-6),TwoS
144000672,144,Delayed Curative Management,67,without Grade 1 (GS 2-6),TwoS
145000672,145,Delayed Palliative Management,67,without Grade 1 (GS 2-6),TwoS
47000682,47,Newly diagnosed Pca,68,without Grade 2 (GS 3+4),TwoS
49000682,49,PCa treated right away,68,without Grade 2 (GS 3+4),TwoS
125000682,125,PCa under conservative management (biopsy or PSA GT 50),68,without Grade 2 (GS 3+4),TwoS
126000682,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),68,without Grade 2 (GS 3+4),TwoS
127000682,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),68,without Grade 2 (GS 3+4),TwoS
128000682,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),68,without Grade 2 (GS 3+4),TwoS
129000682,129,PCa treated after conservative management (biopsy or PSA GT 50),68,without Grade 2 (GS 3+4),TwoS
131000682,131,Delayed Curative Management (biopsy or PSA GT 50),68,without Grade 2 (GS 3+4),TwoS
132000682,132,Delayed Palliative Management (biopsy or PSA GT 50),68,without Grade 2 (GS 3+4),TwoS
137000682,137,PCa under conservative management,68,without Grade 2 (GS 3+4),TwoS
138000682,138,PCa high/intermediate risk conservative management,68,without Grade 2 (GS 3+4),TwoS
139000682,139,PCa low risk grade conservative management and no intense monitoring,68,without Grade 2 (GS 3+4),TwoS
140000682,140,PCa low risk grade conservative management and intense monitoring,68,without Grade 2 (GS 3+4),TwoS
141000682,141,Newly diagnosed Pca (biopsy or PSA GT 50),68,without Grade 2 (GS 3+4),TwoS
142000682,142,PCa treated right away (biopsy or PSA GT 50),68,without Grade 2 (GS 3+4),TwoS
143000682,143,PCa treated after conservative management,68,without Grade 2 (GS 3+4),TwoS
144000682,144,Delayed Curative Management,68,without Grade 2 (GS 3+4),TwoS
145000682,145,Delayed Palliative Management,68,without Grade 2 (GS 3+4),TwoS
47000692,47,Newly diagnosed Pca,69,without Grade 3 (GS 4+3),TwoS
49000692,49,PCa treated right away,69,without Grade 3 (GS 4+3),TwoS
125000692,125,PCa under conservative management (biopsy or PSA GT 50),69,without Grade 3 (GS 4+3),TwoS
126000692,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),69,without Grade 3 (GS 4+3),TwoS
127000692,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),69,without Grade 3 (GS 4+3),TwoS
128000692,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),69,without Grade 3 (GS 4+3),TwoS
129000692,129,PCa treated after conservative management (biopsy or PSA GT 50),69,without Grade 3 (GS 4+3),TwoS
131000692,131,Delayed Curative Management (biopsy or PSA GT 50),69,without Grade 3 (GS 4+3),TwoS
132000692,132,Delayed Palliative Management (biopsy or PSA GT 50),69,without Grade 3 (GS 4+3),TwoS
137000692,137,PCa under conservative management,69,without Grade 3 (GS 4+3),TwoS
138000692,138,PCa high/intermediate risk conservative management,69,without Grade 3 (GS 4+3),TwoS
139000692,139,PCa low risk grade conservative management and no intense monitoring,69,without Grade 3 (GS 4+3),TwoS
140000692,140,PCa low risk grade conservative management and intense monitoring,69,without Grade 3 (GS 4+3),TwoS
141000692,141,Newly diagnosed Pca (biopsy or PSA GT 50),69,without Grade 3 (GS 4+3),TwoS
142000692,142,PCa treated right away (biopsy or PSA GT 50),69,without Grade 3 (GS 4+3),TwoS
143000692,143,PCa treated after conservative management,69,without Grade 3 (GS 4+3),TwoS
144000692,144,Delayed Curative Management,69,without Grade 3 (GS 4+3),TwoS
145000692,145,Delayed Palliative Management,69,without Grade 3 (GS 4+3),TwoS
47000702,47,Newly diagnosed Pca,70,without Grade 4 (GS 8),TwoS
49000702,49,PCa treated right away,70,without Grade 4 (GS 8),TwoS
125000702,125,PCa under conservative management (biopsy or PSA GT 50),70,without Grade 4 (GS 8),TwoS
126000702,126,PCa high/intermediate risk conservative managemetn (biopsy or PSA GT 50),70,without Grade 4 (GS 8),TwoS
127000702,127,PCa low risk grade conservative management and no intense monitoring (biopsy or PSA GT 50),70,without Grade 4 (GS 8),TwoS
128000702,128,PCa low risk grade conservative management and intense monitoring  (biopsy or PSA GT 50),70,without Grade 4 (GS 8),TwoS
129000702,129,PCa treated after conservative management (biopsy or PSA GT 50),70,without Grade 4 (GS 8),TwoS
131000702,131,Delayed Curative Management (biopsy or PSA GT 50),70,without Grade 4 (GS 8),TwoS
132000702,132,Delayed Palliative Management (biopsy or PSA GT 50),70,without Grade 4 (GS 8),TwoS
137000702,137,PCa under conservative management,70,without Grade 4 (GS 8),TwoS
138000702,138,PCa high/intermediate risk conservative management,70,without Grade 4 (GS 8),TwoS
139000702,139,PCa low risk grade conservative management and no intense monitoring,70,without Grade 4 (GS 8),TwoS
140000702,140,PCa low risk grade conservative management and intense monitoring,70,without Grade 4 (GS 8),TwoS
141000702,141,Newly diagnosed Pca (biopsy or PSA GT 50),70,without Grade 4 (GS 8),TwoS
142000702,142,PCa treated right away (biopsy or PSA GT 50),70,without Grade 4 (GS 8),TwoS
143000702,143,PCa treated after conservative management,70,without Grade 4 (GS 8),TwoS
144000702,144,Delayed Curative Management,70,without Grade 4 (GS 8),TwoS
145000702,145,Delayed Palliative Management,70,without Grade 4 (GS 8),TwoS
47000712,47,Newly diagnosed Pca,71,without Grade 5 (GS 9-10),TwoS
49000712,49,PCa treated right away,71,without Grade 5 (GS 9-10),TwoS
125000712,125,PCa under conservative management (biopsy or PSA GT 50),71,without Grade 5 (GS 9-10),TwoS
